time,gain
0.031,66.04
0.131,68.16
0.232,66.93
0.334,68.8
0.434,67.16
0.536,69.74
0.636,69.01
0.737,68.01
0.837,69.63
0.938,69.11
1.038,67.6
1.139,69.43
1.239,68.43
1.34,69.28
1.44,71.07
1.541,70.92
1.641,71.65
1.742,73.09
1.842,71.2
1.943,72.03
2.043,72.04
2.144,70.49
2.244,69.48
2.345,72.42
2.445,72.62
2.545,70.8
2.646,71.24
2.746,73.08
2.847,71.27
2.948,70.81
3.049,70.16
3.149,72.78
3.25,71.48
3.35,70.85
3.451,69.2
3.552,69.94
3.653,72.89
3.754,73.25
3.855,73.17
3.955,73.84
4.056,72.44
4.156,71.75
4.257,73.45
4.357,73.15
4.458,73.46
4.559,73.6
4.66,72.03
4.761,72.42
4.862,73.12
4.962,72.92
5.063,72.35
5.164,73.2
5.265,74.4
5.365,72.34
5.466,70.46
5.567,70.93
5.668,72.66
5.768,69
5.87,68.47
5.971,70.53
6.072,68.42
6.173,68.92
6.274,68.79
6.376,70.46
6.478,71.69
6.579,71.5
6.68,72.63
6.78,70.99
6.881,69.82
6.982,69.88
7.082,69.45
7.183,68.77
7.283,69.78
7.384,70.09
7.485,70.09
7.586,61.54
7.688,63.58
7.79,62.11
7.892,62.56
7.994,63.4
8.097,71.92
8.198,71.1
8.299,71.1
8.399,55.19
8.501,64.24
8.604,54.05
8.706,54.05
8.807,72.08
8.915,70.34
9.016,73.34
9.118,63.69
9.219,63.69
9.321,70.74
9.422,69.37
9.522,73.7
9.622,70.72
9.723,72.64
9.823,72.64
9.924,76.78
10.026,76.78
10.128,62.68
10.23,62.68
10.331,69.67
10.433,62.44
10.535,62.44
10.636,62.1
10.736,72.72
10.838,70.44
10.938,69.76
11.039,69.76
11.142,68.97
11.243,69.43
11.343,69.43
11.444,60.28
11.548,53.17
11.648,70.07
11.748,68.68
11.849,68.78
11.951,52.87
12.054,52.87
12.155,63.6
12.259,68.47
12.361,68.47
12.463,63.69
12.566,55.14
12.667,70.98
12.77,72.89
12.873,56.97
12.974,56.97
13.074,70.76
13.175,70.76
13.277,64.14
13.38,53.58
13.481,71.46
13.582,71.46
13.684,60.28
13.786,67.45
13.889,61.26
13.989,71.42
14.091,61.78
14.193,62.28
14.295,69
14.397,63.49
14.5,55.33
14.601,73.82
14.702,73.82
14.805,69.7
14.906,72.19
15.006,72.19
15.108,63.14
15.21,61.25
15.312,60.41
15.413,61.64
15.516,53.68
15.618,53.68
15.719,71.17
15.82,62.93
15.923,57.27
16.025,71.37
16.126,71.04
16.227,71.04
16.327,68.79
16.429,62.88
16.53,61.57
16.632,62.25
16.735,60.99
16.836,61.07
16.937,68.91
17.038,60.84
17.139,70.76
17.24,71.36
17.34,69.19
17.443,69.19
17.544,64.49
17.647,69.79
17.748,69.79
17.848,68.71
17.95,68.03
18.052,68.03
18.153,64.59
18.255,61.95
18.358,69.26
18.459,69.26
18.56,60.2
18.663,59.98
18.763,67.48
18.864,67.48
18.965,70.24
19.067,70.24
19.17,68.34
19.271,68.34
19.372,70.09
19.473,62.15
19.576,53.18
19.677,69.7
19.778,69.7
19.88,67.78
19.981,72.2
20.081,70.96
20.181,70.11
20.281,67.66
20.382,71.42
20.482,71.09
20.583,72.54
20.683,69.98
20.783,72.56
20.884,70.71
20.984,69.56
21.084,70.36
21.185,68.08
21.285,67.5
21.386,67.75
21.486,67.75
21.587,68.68
21.687,68.7
21.787,71.39
21.889,68.58
21.989,67.59
22.091,69.36
22.191,70.21
22.292,69.61
22.392,69.36
22.492,67.73
22.593,70.33
22.693,70.46
22.794,70
22.894,70.52
22.995,71.52
23.095,72.08
23.195,72.52
23.296,71.85
23.396,69.66
23.497,67.91
23.597,68.21
23.698,69.47
23.798,68.95
23.898,71.08
23.999,70.71
24.099,70.09
24.199,70.34
24.3,70.67
24.401,72.86
24.501,81.76
24.602,73.47
24.702,71.6
24.803,68.22
24.903,71.91
25.005,83.04
25.105,72.86
25.206,67.78
25.306,70.75
25.407,69.19
25.508,68.84
25.608,68.87
25.709,68.87
25.811,63.83
25.914,63.71
26.02,70.04
26.121,68.81
26.223,70.55
26.324,67.75
26.424,67.86
26.526,69.53
26.626,72.49
26.727,68.21
26.828,72.88
26.928,70.53
27.029,68.75
27.129,68.75
27.23,60.78
27.332,59.69
27.435,51.77
27.536,51.77
27.637,68.67
27.737,68.67
27.839,60.91
27.942,54.68
28.043,71.27
28.144,70.58
28.244,67.94
28.346,67.8
28.447,68.66
28.548,69.21
28.648,69.21
28.75,59.15
28.852,68.58
28.953,69.3
29.054,69.3
29.155,67.87
29.257,69.77
29.357,68.68
29.458,68.68
29.559,64.26
29.662,54.29
29.763,54.29
29.864,61.16
29.966,68.57
30.068,67.65
30.169,67.65
30.27,58.38
30.372,58.58
30.475,59.5
30.576,68.47
30.677,60.57
30.779,60.73
30.882,67.2
30.983,67.2
31.085,68.9
31.187,58.02
31.29,62.32
31.391,62.32
31.492,70.72
31.594,57.57
31.697,51.28
31.798,67.2
31.899,67.2
32,79.06
32.102,79.06
32.204,65.96
32.306,68.41
32.407,68.41
32.508,66.66
32.61,64.17
32.712,60.32
32.813,58.6
32.916,66.21
33.018,72.68
33.118,71.78
33.219,68.39
33.32,79.87
33.421,79.87
33.522,62.72
33.625,51.3
33.727,51.3
33.827,68.88
33.929,60.13
34.03,83.07
34.132,83.07
34.234,64.25
34.336,58.39
34.439,50
34.541,66.37
34.641,66.37
34.743,58.88
34.846,51.21
34.948,79.87
35.049,72.2
35.149,72.2
35.25,59.36
35.352,59.25
35.455,66.55
35.556,65.71
35.658,73.98
35.76,56.42
35.862,56.42
35.963,77.88
36.065,77.88
36.167,63.82
36.269,67.25
36.372,67.99
36.473,67.99
36.575,61.05
36.677,67.24
36.777,67.24
36.879,60.54
36.982,53.02
37.083,69.04
37.184,69.04
37.286,59.58
37.389,67.93
37.49,67.93
37.591,70.01
37.692,59.55
37.795,67.28
37.897,67.28
37.998,72.17
