time,gain
0.045,73.64
0.146,75.73
0.247,74.10
0.347,73.96
0.448,72.14
0.549,70.94
0.650,71.47
0.750,71.30
0.851,71.08
0.951,71.21
1.052,71.17
1.153,71.03
1.254,72.19
1.354,69.73
1.456,71.86
1.556,74.12
1.657,73.49
1.758,75.32
1.858,74.90
1.959,74.29
2.060,72.17
2.161,73.85
2.261,74.57
2.362,71.75
2.463,71.09
2.564,73.82
2.664,73.37
2.765,72.75
2.865,72.80
2.966,72.64
3.066,71.77
3.168,68.89
3.268,72.39
3.369,70.21
3.471,62.87
3.573,59.85
3.675,63.62
3.777,73.63
3.879,73.86
3.980,74.69
4.081,76.13
4.184,74.81
4.285,74.37
4.389,58.28
4.491,76.18
4.591,76.18
4.693,66.72
4.795,65.86
4.898,72.62
4.998,74.74
5.099,71.64
5.200,72.60
5.301,71.24
5.401,71.24
5.503,64.09
5.607,55.47
5.708,55.47
5.809,61.81
5.910,63.75
6.012,62.03
6.114,59.29
6.216,58.00
6.319,52.74
6.420,70.70
6.521,70.70
6.623,60.79
6.726,51.89
6.828,72.73
6.928,72.73
7.029,64.42
7.131,63.50
7.233,60.31
7.334,60.91
7.436,61.38
7.539,51.73
7.640,71.07
7.741,71.07
7.842,72.14
7.944,73.57
8.044,73.57
8.146,64.26
8.248,73.66
8.350,67.53
8.452,71.06
8.554,71.06
8.656,64.23
8.758,64.49
8.859,64.36
8.961,66.15
9.062,66.15
9.165,67.95
9.266,69.89
9.366,69.89
9.468,71.71
9.569,71.87
9.670,71.87
9.772,65.83
9.875,64.04
9.978,73.05
10.078,70.20
10.179,68.84
10.279,68.84
10.381,69.18
10.485,53.26
10.586,71.35
10.686,71.35
10.788,63.26
10.889,55.30
10.989,62.45
11.091,69.90
11.191,68.74
11.292,68.74
11.392,60.46
11.493,66.54
11.594,69.13
11.695,67.74
11.796,65.51
11.897,66.35
11.998,68.66
12.098,68.66
12.200,64.23
12.302,64.18
12.404,63.40
12.506,70.78
12.608,70.78
12.709,61.05
12.812,67.52
12.914,66.34
13.015,67.19
13.116,67.43
13.216,67.43
13.317,57.89
13.418,58.35
13.521,58.97
13.622,59.10
13.723,59.80
13.826,59.13
13.928,59.13
14.029,67.99
14.131,67.99
14.234,60.77
14.334,65.40
14.436,56.99
14.538,59.48
14.641,65.56
14.742,64.65
14.844,64.65
14.947,58.66
15.048,69.65
15.149,69.88
15.250,69.88
15.352,59.32
15.455,49.58
15.557,69.77
15.658,69.77
15.760,62.63
15.862,58.86
15.964,67.70
16.065,67.70
16.168,51.35
16.270,70.19
16.370,70.19
16.472,61.16
16.575,50.21
16.677,66.74
16.777,66.74
16.879,67.53
16.981,67.00
17.083,67.00
17.186,53.16
17.288,70.07
