time,gain
0.030,62.90
0.132,60.25
0.233,59.61
0.333,59.88
0.434,57.57
0.534,67.61
0.635,61.04
0.736,61.03
0.836,60.16
0.937,59.94
1.038,61.68
1.139,60.85
1.239,67.44
1.340,66.67
1.440,67.85
1.541,69.27
1.642,62.14
1.742,67.45
1.843,57.29
1.943,53.66
2.044,55.14
2.145,53.42
2.245,54.10
2.345,53.67
2.446,51.29
2.547,53.53
2.648,65.43
2.749,66.05
2.850,58.56
2.950,60.48
3.051,63.42
3.151,78.69
3.252,74.25
3.352,74.79
3.453,67.63
3.556,69.45
3.657,70.78
3.758,68.52
3.859,71.67
3.961,67.43
4.064,82.55
4.165,78.44
4.266,72.85
4.367,71.20
4.468,78.99
4.568,75.62
4.669,71.90
4.769,65.16
4.871,65.24
4.972,63.72
5.072,61.60
5.173,60.60
5.274,73.65
5.375,67.29
5.477,64.36
5.578,64.28
5.679,68.56
5.780,64.32
5.882,64.55
5.983,72.47
6.084,77.43
6.185,77.76
6.285,75.06
6.386,74.20
6.487,70.26
6.587,68.30
6.688,67.63
6.788,65.02
6.889,65.69
6.989,67.12
7.090,67.12
7.193,69.09
7.293,67.14
7.395,68.34
7.495,68.34
7.596,67.09
7.697,68.86
7.799,62.15
7.902,62.52
8.003,75.50
8.105,68.10
8.207,60.50
8.309,69.21
8.412,62.06
8.513,59.36
8.615,53.06
8.717,53.06
8.818,72.47
8.919,62.45
9.021,63.49
9.124,62.86
9.230,69.89
9.332,69.89
9.435,69.38
9.536,69.38
9.636,67.79
9.737,59.07
9.838,62.71
9.940,63.40
10.043,68.32
10.144,68.32
10.245,49.96
10.349,67.46
10.449,67.46
10.550,60.03
10.653,49.65
10.755,49.65
10.856,78.09
10.957,73.34
11.060,77.33
11.161,86.44
11.262,79.69
11.362,72.41
11.462,80.25
11.563,80.25
11.666,69.98
11.767,77.58
11.868,77.58
11.969,68.02
12.072,56.57
12.174,76.70
12.277,60.79
12.377,60.79
12.480,74.04
12.582,74.04
12.682,65.61
12.785,72.92
12.886,71.72
12.987,71.72
13.088,69.39
13.189,70.42
13.292,69.33
13.393,68.09
13.496,48.22
13.598,69.83
13.699,69.83
13.800,60.92
13.902,62.81
14.004,64.92
14.107,64.92
14.207,77.91
14.309,62.02
14.411,67.25
14.512,67.25
14.613,68.76
14.714,53.31
14.818,45.14
14.919,45.14
15.020,59.89
15.121,64.92
15.225,56.67
15.326,56.67
15.427,55.87
15.528,70.27
15.630,56.16
15.732,64.35
15.834,64.35
15.936,65.87
16.037,62.96
16.140,54.04
16.241,60.37
16.343,71.87
16.446,52.96
16.548,52.96
16.648,67.98
16.750,59.92
16.853,46.17
16.954,81.36
17.055,81.36
17.155,77.73
17.257,77.73
17.357,67.51
17.460,70.13
17.560,69.08
17.660,69.10
17.762,67.63
17.863,67.74
17.963,67.74
18.065,60.64
18.166,64.83
18.268,78.27
18.371,71.05
18.472,71.05
18.572,66.20
18.673,66.20
18.775,65.77
18.878,66.45
18.979,66.45
19.080,72.64
19.181,55.98
19.282,59.56
19.385,72.22
