time,avg_gain
5.0,66.35939
10.0,63.81500
15.0,62.27040
20.0,68.33959
25.0,67.19693
30.0,69.23820
35.0,69.40285
40.0,70.90897
45.0,70.66285
50.0,67.45360
55.0,66.29734
60.0,67.49530
65.0,66.00836
70.0,69.15939
75.0,63.45714
80.0,67.21510
85.0,68.85899
90.0,72.62959
95.0,70.77897
100.0,70.21224
105.0,69.88499
110.0,65.89714
115.0,64.69673
120.0,62.13591
125.0,62.39102
130.0,65.02680
135.0,62.59122
140.0,63.41938
145.0,66.38877
150.0,69.56879
155.0,67.98857
160.0,61.21918
165.0,63.11265
170.0,65.62080
175.0,72.48285
180.0,76.26780
185.0,72.71673
190.0,71.23020
195.0,63.47346
200.0,62.18239
205.0,60.12714
210.0,64.33163
215.0,60.78020
220.0,62.60979
225.0,62.98959
230.0,66.12714
235.0,64.61959
240.0,69.03979
245.0,71.13469
250.0,70.64530
255.0,63.76897
260.0,60.36244
265.0,60.27879
270.0,58.29102
275.0,59.44387
280.0,60.73122
285.0,63.56219
290.0,60.04816
295.0,64.94938
300.0,64.87489
305.0,70.98920
310.0,73.35346
315.0,69.47367
320.0,68.17938
325.0,69.56306
330.0,70.07139
335.0,65.91163
340.0,62.08122
345.0,61.43489
350.0,65.78199
355.0,66.82204
360.0,70.47142
365.0,66.51519
370.0,64.57999
375.0,69.92387
380.0,63.16142
385.0,63.65836
390.0,65.85899
395.0,65.06897
400.0,63.81857
405.0,62.85653
410.0,63.01960
415.0,60.66122
420.0,59.86612
425.0,59.56224
430.0,60.54204
435.0,61.11699
440.0,59.17673
445.0,65.11897
450.0,69.78571
455.0,68.37820
460.0,71.05857
465.0,73.44591
470.0,67.36673
475.0,67.08539
480.0,68.47285
485.0,69.62727
510.0,68.55937
515.0,66.79720
520.0,64.77367
525.0,62.20734
530.0,64.59795
535.0,66.93039
540.0,68.24816
545.0,68.91938
550.0,62.54530
555.0,63.01551
560.0,63.32720
565.0,62.93265
570.0,69.98877
575.0,74.38860
580.0,73.82204
585.0,70.26489
590.0,68.48224
595.0,69.64179
600.0,70.47693
605.0,67.61367
610.0,63.32877
615.0,63.57080
620.0,61.59040
625.0,59.79428
630.0,61.50326
635.0,63.85919
640.0,63.78204
645.0,63.87775
650.0,67.12160
655.0,64.04326
660.0,65.06673
665.0,66.22061
670.0,70.00759
675.0,70.69530
680.0,69.41959
685.0,67.98551
690.0,70.08480
695.0,69.66959
700.0,71.47489
705.0,68.92326
710.0,71.03099
715.0,73.81559
720.0,68.34142
725.0,64.56367
730.0,64.65279
735.0,63.07877
740.0,63.19346
745.0,64.05795
750.0,64.72719
755.0,64.43204
760.0,62.82653
765.0,63.89204
770.0,62.75500
775.0,63.26795
780.0,63.60448
