time,avg_gain
5.0,60.83333
10.0,64.03199
15.0,67.71999
20.0,69.92399
25.0,73.48399
30.0,72.53200
35.0,70.50408
40.0,67.13137
45.0,64.99199
50.0,61.10199
55.0,60.84199
60.0,60.33399
65.0,58.76200
70.0,58.84800
75.0,57.60799
80.0,57.03199
85.0,58.08600
90.0,58.88399
95.0,62.22200
100.0,62.48400
105.0,62.55599
110.0,63.14999
115.0,69.64000
120.0,72.14000
125.0,63.13599
130.0,60.59800
135.0,59.39800
140.0,60.48199
145.0,63.90599
150.0,66.11000
155.0,73.75800
160.0,74.44999
165.0,68.59199
170.0,62.04400
175.0,60.65599
180.0,60.19999
185.0,59.29800
190.0,60.21200
195.0,61.53000
200.0,60.55799
205.0,67.78799
210.0,70.46000
215.0,63.03600
220.0,63.48799
225.0,62.53199
230.0,69.08599
235.0,65.10599
240.0,56.94600
245.0,57.39400
250.0,58.08800
255.0,56.50000
260.0,55.43399
265.0,55.92200
270.0,58.19599
275.0,57.78400
280.0,61.27000
285.0,62.17199
290.0,66.00600
295.0,68.97600
300.0,70.36999
305.0,69.95000
310.0,61.27400
315.0,59.71000
320.0,60.35200
325.0,62.67400
330.0,67.46800
335.0,72.45599
340.0,72.58600
345.0,66.44799
350.0,62.95800
355.0,60.27800
360.0,60.60599
365.0,63.10000
370.0,65.97599
375.0,60.26799
380.0,60.57600
385.0,61.70400
390.0,64.76999
395.0,64.18999
400.0,59.04199
405.0,57.61000
410.0,56.37999
415.0,57.23599
420.0,57.48199
425.0,57.67400
430.0,61.16600
435.0,67.58999
440.0,64.60599
445.0,60.37800
450.0,61.56599
455.0,64.12799
460.0,62.14800
465.0,61.72200
470.0,60.14999
475.0,61.63399
480.0,60.28200
485.0,66.58999
490.0,68.74199
495.0,68.58199
500.0,63.34599
505.0,60.67400
510.0,64.24200
515.0,65.09400
520.0,68.95200
525.0,72.23400
530.0,73.15999
535.0,70.35600
540.0,69.25799
545.0,69.60599
550.0,63.90999
555.0,63.64399
560.0,62.23600
565.0,60.89400
570.0,60.10399
575.0,61.52999
580.0,59.36200
585.0,58.03200
590.0,58.20000
595.0,60.59399
600.0,63.51000
605.0,66.40999
610.0,63.28799
615.0,60.33400
620.0,65.23600
625.0,66.04400
630.0,64.97999
635.0,65.01800
640.0,65.88000
645.0,66.57600
650.0,68.11400
655.0,67.42799
660.0,69.68999
665.0,68.54599
670.0,71.35999
675.0,67.99200
680.0,60.18600
685.0,59.39199
690.0,60.52199
695.0,62.55800
700.0,67.68199
705.0,68.60399
710.0,63.26200
715.0,61.50000
720.0,62.54800
725.0,64.70000
730.0,71.17999
735.0,71.69600
740.0,67.08599
745.0,64.71000
750.0,63.83599
755.0,59.82000
760.0,60.12399
765.0,58.90199
770.0,59.81599
775.0,57.82799
780.0,60.65897
