time,avg_gain
5.0,76.65294
10.0,79.24000
15.0,78.16600
20.0,65.64600
25.0,70.60199
30.0,74.46600
35.0,75.34799
40.0,73.05000
45.0,67.35200
50.0,68.94400
55.0,64.71399
60.0,63.28000
65.0,66.59600
70.0,65.61799
75.0,73.18799
80.0,74.68599
85.0,68.62600
90.0,67.94400
95.0,72.99799
100.0,67.08199
105.0,66.18799
110.0,68.67600
115.0,72.39399
120.0,65.41800
125.0,69.46799
130.0,66.25400
135.0,61.91600
140.0,68.22800
145.0,66.30199
150.0,67.03400
155.0,71.10199
160.0,70.94000
165.0,73.32600
170.0,74.13600
175.0,70.75000
180.0,71.34200
185.0,72.24600
190.0,74.29400
195.0,72.14999
200.0,70.92400
205.0,73.64399
210.0,73.64399
215.0,82.26000
220.0,75.81599
225.0,72.05999
230.0,74.52400
235.0,68.12399
240.0,81.42600
245.0,72.62200
250.0,70.33599
255.0,72.01200
260.0,71.72599
265.0,71.25799
270.0,70.95600
275.0,66.84399
280.0,65.42599
285.0,66.56200
290.0,63.32200
295.0,66.08199
300.0,68.38600
305.0,68.87999
310.0,72.43400
315.0,74.88400
320.0,67.43399
325.0,64.98200
330.0,81.91599
335.0,76.18200
340.0,69.83400
345.0,71.54400
350.0,68.04000
355.0,71.99399
360.0,76.80000
365.0,70.21400
370.0,74.03200
375.0,72.16399
380.0,70.21799
385.0,69.29999
390.0,73.28600
395.0,69.03199
400.0,69.35400
405.0,68.43800
410.0,68.08599
415.0,67.86799
420.0,70.16599
425.0,70.61400
430.0,66.00400
435.0,64.59199
440.0,67.21399
445.0,69.39199
450.0,71.01399
455.0,67.65600
460.0,62.00999
465.0,69.85400
470.0,63.64999
475.0,62.42199
480.0,68.13600
485.0,66.28200
490.0,63.80799
495.0,61.32800
500.0,61.09200
505.0,66.36400
510.0,68.07000
515.0,78.32799
520.0,74.14600
525.0,66.45799
530.0,75.74400
535.0,68.89199
540.0,71.79399
545.0,64.92400
550.0,61.13600
555.0,61.38000
560.0,57.71999
565.0,62.53800
570.0,68.64399
575.0,67.80800
580.0,62.93399
585.0,59.33399
590.0,60.60000
595.0,64.88800
600.0,72.98599
605.0,69.49400
610.0,70.98600
615.0,75.58800
620.0,72.22400
625.0,74.97600
630.0,72.50200
635.0,72.50999
640.0,72.20999
645.0,70.95000
650.0,70.83199
655.0,70.48399
660.0,73.68200
665.0,72.35999
670.0,69.19400
675.0,68.49200
680.0,76.80199
685.0,76.07000
690.0,75.34799
695.0,80.17199
700.0,76.93000
705.0,74.69200
710.0,77.63399
715.0,71.40399
720.0,77.93599
725.0,76.63999
730.0,70.40999
735.0,71.21199
740.0,69.09799
745.0,73.44400
750.0,69.48799
755.0,72.37400
760.0,73.62799
765.0,80.02400
770.0,72.85999
775.0,71.69599
780.0,71.30799
