time,avg_gain
5.0,75.73440
10.0,75.22163
15.0,66.82880
20.0,71.11530
25.0,71.47040
30.0,71.33571
35.0,66.64632
40.0,68.58734
45.0,67.91510
50.0,66.58480
55.0,68.57265
60.0,67.42061
65.0,69.71285
70.0,69.66551
75.0,67.28600
80.0,67.99897
85.0,67.41265
90.0,66.86551
95.0,68.05639
100.0,69.30387
105.0,68.09816
110.0,66.25448
115.0,69.46346
120.0,68.32859
125.0,66.10693
130.0,66.66387
135.0,69.83387
140.0,70.68346
145.0,67.75499
150.0,69.26489
155.0,69.71367
160.0,71.21224
165.0,71.60653
170.0,67.69079
175.0,68.34224
180.0,68.15244
185.0,70.99326
190.0,68.26040
195.0,69.38599
200.0,70.06755
205.0,66.82469
210.0,66.48306
215.0,64.03775
220.0,65.22960
225.0,67.63224
230.0,69.44571
235.0,69.21326
240.0,67.87714
245.0,64.82019
250.0,63.95816
255.0,66.14448
260.0,70.59244
265.0,64.25489
270.0,65.89919
275.0,68.64693
280.0,68.35224
285.0,64.88857
290.0,63.41346
295.0,66.91500
300.0,67.27836
305.0,68.69775
310.0,67.42220
315.0,68.18163
320.0,70.17387
325.0,68.11979
330.0,67.28040
335.0,69.97387
340.0,70.46326
345.0,69.06612
350.0,70.92612
355.0,69.64279
360.0,71.04326
365.0,65.84775
370.0,66.48081
375.0,69.58530
380.0,70.09840
385.0,70.53061
390.0,68.47775
395.0,73.84244
400.0,74.74500
405.0,73.08530
410.0,69.71183
415.0,70.34530
420.0,66.67000
425.0,66.99040
430.0,70.06081
435.0,68.78346
440.0,69.90591
445.0,68.79759
450.0,67.26285
455.0,69.58632
460.0,67.88285
465.0,70.85551
470.0,68.30060
475.0,73.51734
480.0,68.85428
485.0,67.54204
490.0,69.47099
495.0,69.17346
500.0,69.86938
505.0,68.01693
510.0,67.10367
515.0,62.07919
520.0,62.49571
525.0,63.07959
530.0,67.05510
535.0,63.27900
540.0,62.83448
545.0,64.50142
550.0,61.23877
555.0,64.77448
560.0,65.65959
565.0,64.76530
570.0,65.28938
575.0,68.03285
580.0,67.18755
585.0,67.17980
590.0,66.21244
595.0,62.91170
645.0,69.31049
650.0,67.97560
655.0,65.16714
660.0,67.14591
665.0,64.92122
670.0,65.74639
675.0,67.68632
680.0,73.52102
685.0,71.78300
690.0,72.28857
695.0,73.60918
700.0,74.66859
705.0,71.51530
710.0,70.72428
715.0,71.47939
720.0,68.91081
725.0,69.68551
730.0,67.54183
735.0,70.50400
740.0,71.19693
745.0,69.84739
750.0,68.46326
755.0,69.55693
760.0,69.20000
765.0,68.82591
770.0,71.43800
775.0,72.20142
780.0,71.64699
