time,avg_gain
5.0,68.24313
10.0,64.05799
15.0,65.72800
20.0,63.24999
25.0,61.31599
30.0,63.68200
35.0,65.12200
40.0,63.88199
45.0,67.13000
50.0,73.00800
55.0,71.60199
60.0,68.14600
65.0,67.12999
70.0,63.74199
75.0,62.13799
80.0,63.48800
85.0,62.07199
90.0,62.21399
95.0,64.53200
100.0,67.70199
105.0,67.96599
110.0,67.05999
115.0,66.19600
120.0,66.26000
125.0,67.71600
130.0,65.99199
135.0,66.61599
140.0,67.14199
145.0,68.58799
150.0,69.89800
155.0,69.40200
160.0,69.27999
165.0,63.36599
170.0,64.96800
175.0,62.58800
180.0,61.29200
185.0,65.43999
190.0,67.00199
195.0,67.47200
200.0,77.84399
205.0,74.33800
210.0,68.57000
215.0,68.09599
220.0,68.91200
225.0,63.18599
230.0,59.47200
235.0,59.60199
240.0,61.25599
245.0,62.52799
250.0,70.49800
255.0,75.37200
260.0,69.03600
265.0,68.27000
270.0,67.64000
275.0,63.11600
280.0,59.44600
285.0,59.28400
290.0,59.51600
295.0,61.15200
300.0,63.67800
305.0,63.88199
310.0,63.15799
315.0,67.36599
320.0,66.78399
325.0,67.52999
330.0,69.13999
335.0,68.33800
340.0,68.31000
345.0,70.28799
350.0,76.70599
355.0,70.22800
360.0,65.67800
365.0,65.98600
370.0,65.01799
375.0,64.36199
380.0,69.09799
385.0,69.88599
390.0,69.47199
395.0,69.36799
400.0,67.31399
405.0,69.32200
410.0,69.35399
415.0,65.71399
420.0,61.32000
425.0,61.38600
430.0,60.56400
435.0,60.83399
440.0,61.87599
445.0,60.40799
450.0,67.24800
455.0,74.44599
460.0,67.67199
465.0,66.81999
470.0,64.52999
475.0,62.73199
480.0,62.72799
485.0,62.67200
490.0,63.10799
495.0,63.56199
500.0,70.04000
505.0,68.66399
510.0,68.37800
515.0,66.29000
520.0,68.26800
525.0,70.22800
530.0,74.56999
535.0,77.91999
540.0,77.74999
545.0,76.48800
550.0,77.02800
555.0,82.42599
560.0,74.33000
565.0,69.09800
570.0,67.55200
575.0,64.92799
580.0,64.96800
585.0,63.37000
590.0,61.85199
595.0,61.96999
600.0,67.13400
605.0,71.63000
610.0,72.64999
615.0,68.11799
620.0,66.64799
625.0,64.52999
630.0,63.91199
635.0,65.19599
640.0,73.04799
645.0,72.26400
650.0,74.62199
655.0,70.90599
660.0,68.20399
665.0,65.56599
670.0,65.30199
675.0,65.09400
680.0,64.60599
685.0,64.12600
690.0,62.24399
695.0,61.86199
700.0,65.94599
705.0,69.37200
710.0,70.77400
715.0,71.24399
720.0,64.67199
725.0,61.19400
730.0,62.55200
735.0,61.58599
740.0,57.98600
745.0,55.77799
750.0,58.97399
755.0,60.32222
